NCM;Descrição;Mínimo;Máximo;I.I;IPI;PIS;COFINS;ICMS
3075200;-- Congelados;7,7268;8,1209;9;0;2,1;9,65;
5021011;CERDAS DE PORCO, LAV.ALVEJ.S/GOR. MMO TINTAS;7,3268;8,9670;7,2;NT;2,1;9,65;
5021090;OUTRAS CERDAS DE JAVALI E DESPERDÍCIOS;30,3667;30,3667;7,2;NT;2,1;9,65;
5029010;PÊLOS D/TEXUGO E OUTS PÊLOS P/ESCOVA;39,3588;41,2524;7,2;NT;2,1;9,65;
5040012;TRIPAS DE OVINOS, INTEIRAS OU PEDAÇOS;7,1840;16,1532;7,2;NT;2,1;9,65;
5040013;TRIPAS DE SUÍNOS, INTEIRAS OU PEDAÇOS;7,1997;8,8674;7,2;NT;2,1;9,65;
5051000;- Penas do tipo utilizado para enchimento ou estofament;1,3364;1,7548;7,2;NT;2,1;9,65;
5119999;OUTS.PROD.D/ORIGEM ANIMAL,IMPRÓP. P/ALIM.HUM.;4,6918;5,5731;7,2;NT;2,1;9,65;
6029029;OUTRAS MUDAS DE PLANTAS ORNAMENTAIS;2,0295;2,1964;0;NT;2,1;9,65;
6031900;OUTRAS FLORES SEUS BOTS.CORT. P/BUQÊS,ORN. FRESCOS;20,9871;20,9871;9;NT;2,1;9,65;
6039000;"OUTS.FLORES E BOTÕES,CORT.
P/BUQUÊS,ORNAM.";10,3100;16,5840;9;NT;2,1;9,65;
6049000;"OUTS.FOLHAGEM, FOLHAS,RAMOS SECOS,BRANQ.TING.
D/OUT.MODO";0,6931;2,5991;7,2;NT;2,1;9,65;
7032090;OUTROS ALHOS FRESCOS OU REFRIGERADOS;1,0544;1,3010;35;NT;0;0;
7039090;OUTROS ALHOS E PROD. ALIÁCEOS;2,6444;2,7186;9;NT;0;0;
7049000;"COUVE,REPOLHO,ETC. GEN.""BRASSICA"", FRESC.REF.";3,1576;3,1576;9;NT;0;0;
7102100;ERVILHAS(PISUM SATIVUM),NÃO COZIDAS,CONG.;1,2843;1,3415;9;NT;0;0;
7102200;-- Feijões (Vignaspp., Phaseolusspp.);1,1600;1,1600;9;NT;0;0;
7102900;"OUTS.LEGUMES DE VAGEM CONG., Ñ COZ.
/COZ.";1,4016;1,8388;9;NT;0;0;
7104000;MILHO DOCE,Ñ COZIDO OU COZ. ÁGUA,VAPOR,CONG.;0,9629;1,0259;9;0;0;0;
7108000;OUTROS PRODS. HORTÍCOLAS,Ñ COZIDOS,CONG.;0,8195;1,2232;9;NT;0;0;
7109000;MISTURAS DE PRODUTOS HORTÍCOLAS, CONG.;0,7810;0,9344;9;NT;0;0;
7115100;-- Cogumelos do gêneroAgaricus;0,8747;1,2413;9;0;0;0;
7115900;OUTROS COGUMELOS E TRUFAS CONSER. TRANSIT.;0,4099;0,4099;9;3,25;0;0;
7119000;OUTS.PROD.HORT.E MIST.CONS.A.SALG. SULF.OUTS.;1,6843;1,8712;9;0;0;0;
7122000;CEBOLAS,MESMO CORTADAS EM PEDAÇOS, SECAS;2,0719;2,4711;9;0;0;0;
7123100;-- Cogumelos do gêneroAgaricus;10,3863;11,6330;9;0;0;0;
7123200;-- Orelhas-de-judas (Auriculariaspp.);5,8462;6,4814;9;0;0;0;
7123300;-- Tremelas (Tremellaspp.);8,6000;8,6000;9;0;0;0;
7123400;-- Shitake (Lentinus edodes);2,7148;6,5955;9;0;0;0;
7123900;OUTS.PROD.HORTIC. SEC.CORT.TRIT. S/OUTS.PREP.;5,6293;7,6459;9;0;0;0;
7129010;ALHO COMUM EM PÓ;1,1813;1,9870;NÂO ENCONTRADO;;;;
7129090;"OUTS.PROD.HORT. MESMO, CORT.
PEDAÇOS, SECOS";1,6304;2,2470;9;0;0;0;
7133190;OUTS.FEIJÕES(VIGNA MUNGO),SECOS, EM GRÃOS;0,7239;1,4643;9;NT;0;0;
8023200;"NOZES SEM CASCA,
FRESCAS OU SECAS";4,0323;4,2212;9;0;0;0;
8062000;UVAS SECAS (PASSAS);1,2470;1,4488;9;0;0;0;
8083000;PERAS FRESCAS;1,0585;1,2406;9;NT;0;0;
8111000;"MORANGO,Ñ COZ/COZ VAP/ÁGUA,CONG.MMO.
C/AÇ.";1,2224;1,5160;9;NT;0;0;
8112000;FRAMBOESA, AMORA, Ñ COZ.CONG.MMO. C/AÇÚCAR;1,3180;1,9555;9;NT;0;0;
8119000;- Outra;1,1788;1,8878;9;NT;0;0;
8132020;AMEIXAS SECAS, SEM CAROÇO;3,5000;3,5000;9;0;0;0;
8134090;Outra;2,6908;3,4782;9;0;0;0;
9021000;"- Chá verde (não fermentado) em embalagens imediatas de
cont";1,5481;4,2841;9;0;2,1;9,65;
9022000;CHÁ VERDE, Ñ FERMENTADO EM OUTRAS FORMAS;1,5040;2,1876;9;0;2,1;9,65;
9023000;- Chá preto (fermentado) e chá parcialmente fermentado, em e;2,0429;3,5048;9;0;2,1;9,65;
9041100;"PIMENTA(""PIPER""),NÃO TRITURADA, NEM EM PÓ";3,0014;3,0884;9;NT;2,1;9,65;
9041200;"PIMENTA(""PIPER""), TRITURADA OU EM PÓ";1,4916;3,5980;9;0;2,1;9,65;
9042100;PIMENTÕES E PIMENTAS, SECOS Ñ TRITURADOS NEM EM PÓ;2,2065;2,8721;9;0;2,1;9,65;
9042200;PIMENTÕES E PIMENTAS, SECOS, TRITURADOS OU EM PÓ;1,5866;2,1396;9;0;2,1;9,65;
9061100;CANELA E FLOR DE CANELEIRA Ñ TRIT. NEM EM PÓ;1,1700;1,1700;9;NT;2,1;9,65;
9061900;Outs.canela/flor canel. Ñ/triturs. nem em pó;1,5702;1,7321;9;NT;2,1;9,65;
9062000;CANELA E FLOR DE CANELEIRA TRIT. OU EM PÓ;4,0194;4,0983;9;0;2,1;9,65;
9093100;"SEMENTES DE COMINHO Ñ TRITURADOS NEM EM
PÓ";6,5502;6,5502;9;0;2,1;9,65;
9096120;SEMENTES D/BADIANA (ANIS-ESTRELADO) Ñ TRITUR.NEM EM PÓ;4,5177;4,7637;9;0;2,1;9,65;
9101100;GENGIBRE Ñ TRITURADO NEM EM PÓ;3,4313;3,4313;9;0;2,1;9,65;
9101200;GENGIBRE TRITURADO OU EM PÓ;2,5184;8,6385;9;0;2,1;9,65;
9103000;- Cúrcuma;39,0000;41,2241;9;0;2,1;9,65;
10039080;OUTRAS CEVADA, EM GRÃO;0,7150;0,7150;9;NT;2,1;9,65;
10082990;Outros;0,5110;0,8132;7,2;NT;2,1;9,65;
11010020;FARINHAS DE MISTURA DE TRIGO COM CENTEIO;2,7522;2,7522;10,8;0;2,1;9,65;
11029000;OUTS.FARINHAS D/CERS.,EXC. D/TRIGO/MIST.C/CENT. (MÉTEIL);0,5350;0,5831;9;0;2,1;9,65;
11062000;FARINHAS, SÊMS. D/SAGU, D/RAÍZ/TUBÉRC.POS. 0714;2,4000;2,4000;9;0;0;0;
11063000;FARINHAS,SÊMOLAS E PÓS DOS PRODS. DO CAP.08;3,1751;4,3657;9;0;2,1;9,65;
11081100;AMIDO DE TRIGO;0,6090;0,6073;9;0;2,1;9,65;
11081200;AMIDO DE MILHO;1,2994;1,4051;9;0;2,1;9,65;
11081300;FÉCULA DE BATATA;6,1983;6,1983;9;0;2,1;9,65;
11082000;INULINA;3,5012;3,7537;9;0;2,1;9,65;
11090000;GLÚTEN DE TRIGO, MESMO SECO;1,4117;1,6565;0;0;2,1;9,65;
12079990;Outros;2,6734;3,2559;7,2;NT;2,1;9,65;
12099100;SEMENTES DE PRODS. HORTÍCULAS, P/SEMEADURA;76,6985;85,3398;0;NT;2,1;9,65;
12119090;"OUTS.PLANTAS E PARTES,FRUTOS
P/PERF.MED.ETC";2,0045;4,5104;7,2;NT;2,1;9,65;
12122100;-- Próprias para alimentação humana;3,7467;15,9904;5,4;0;2,1;9,65;
12122900;"OUTS.ALGAS PRÓPR. ALIM.HUMANA,FRESC.
REFR.CONG.SECAS/PÓ";5,7672;7,9163;5,4;NT;2,1;9,65;
12129910;Estévia (Ka'a He'?) (Stevia rebaudiana);35,9000;35,9000;7,2;0;2,1;9,65;
12129990;"OUTS.PRODS. VEGETAIS P/ALIM. HUMANA,FRESC.REF.
CONG.SEC./P";102,2067;102,2067;7,2;0;2,1;9,65;
13019090;"OUTS GOMAS,RES., GOMA-RESINAS,
BÁLSAMOS NAT.";7,7350;7,8200;7,2;0;2,1;9,65;
13021200;-- De alcaçuz (regoliz);8,4556;8,1329;7,2;0;2,1;9,65;
13021300;SUCOS E EXTRATOS, DE LÚPULO;15,5685;15,6169;7,2;3,25;2,1;9,65;
13021930;DeGinkgo biloba, seco;13,3000;87,3852;0;0;2,1;9,65;
13021950;"SUCOS E EXTRATOS, DE ""GINSENG""";10,8613;17,0478;0;0;2,1;9,65;
13021960;Silimarina;25,4221;29,4484;12,6;0;2,1;9,65;
13021999;OUTROS SUCOS E EXTRATOS VEGETAIS;6,6909;16,6204;7,2;0;2,1;9,65;
13022010;MATÉRIAS PÉCTICAS (PECTINAS);11,1673;11,6196;7,2;0;2,1;9,65;
13023100;OUTROS ÁGAR-ÁGAR, EXCETO POLIMERIZADO;13,1367;13,3382;9;0;2,1;9,65;
13023219;OUTS.PROD.MUCILAG., ESPESS. D/ALFARR.E S/SEM.;7,7979;7,9216;7,2;0;2,1;9,65;
13023220;De sementes de guar;4,5996;6,3396;0;0;2,1;9,65;
13023910;Carragenina (musgo-de- irlanda);5,8974;7,1426;9;0;2,1;9,65;
13023990;"OUTS.PROD. MUCILAGINOS E
ESPESS.DERIV.D/VEG.";7,9000;9,5038;7,2;0;2,1;9,65;
14011000;BAMBUS PARA CESTARIA OU ESPARTARIA;0,9829;1,6209;5,4;NT;2,1;9,65;
14012000;"ROTINS PARA CESTARIA OU
ESPARTARIA";24,1387;37,9484;5,4;NT;2,1;9,65;
14049090;OUTS PRODS.DE ORIGEM VEGETAL, P/ENTRANÇAR;0,6575;0,7589;5,4;NT;2,1;9,65;
15042000;"GORD.,ÓLEOS D/PEIXE E FRAÇÕES.EXC.ÓLEO
D/FIG.";12,4938;21,7174;9;0;2,1;9,65;
15050010;Lanolina;7,9701;9,4015;7,2;0;2,1;9,65;
15050090;OUTS.SUBS.GORDA DERIV.D/SUARDA EXC. LANOLINA;4,8279;5,4810;5,4;0;2,1;9,65;
15131900;OUTROS ÓLEOS DE COCO EXCETO EM BRUTO;7,0000;7,0000;9;0;0;0;
15153000;- Óleo de rícino (mamona) e respectivas frações;2,6200;2,6200;9;0;2,1;9,65;
15155000;- Óleo de gergelim (sésamo) e respectivas frações;1,7723;2,1216;9;0;2,1;9,65;
15159090;OUTS.ÓLEOS, FRAÇÕES MMO. REF. Ñ QUIM.MODIFIC.;11,8268;30,5155;9;0;2,1;9,65;
15161000;"GORDURAS / ÓLEOS ANIM.,SUAS FRAÇÕES
HIDROG.";28,3000;28,3000;9;0;2,1;9,65;
15162000;GORD, ÓLEOS VEGETAIS, SUAS FRAÇÕES HIDROG.;1,3732;1,5049;9;0;2,1;9,65;
15179010;"Misturas de óleos refinados, em recipientes
com capacidade i";3,8546;3,8546;10,8;0;2,1;9,65;
15179090;OUTS.MIST.ALIM. D/GORD.,ÓLEOS ANIMAIS OU VEG.;1,4573;1,7358;10,8;0;2,1;9,65;
15180010;"ÓLEO VEGETAL
EPOXIDADO";1,9000;1,9000;9;0;2,1;9,65;
15180090;OUTS.GORD.ÓLEOS VEG.ANIMS.COZ.DES . EXC.POS.1516;2,6676;2,4134;9;0;2,1;9,65;
15219090;Outros;2,0662;2,3016;9;NT;2,1;9,65;
16041420;"PREP.,CONS. D/BONITOS- LISTRADOS,INT.
/PEDAÇOS";4,7908;4,7912;14,4;0;2,1;9,65;
16042010;"PREP.,CONSERVAS.,
DE ATUNS, PICADOS";3,2600;3,2750;14,4;0;2,1;9,65;
16042020;PREP.,CONSERVAS., DE BONITOS-LISTR., PICADOS;3,1000;3,1546;14,4;0;2,1;9,65;
16042090;"OUTS.PREPARAÇÕES E CONSERV.,DE OUTS.
PEIXES";1,8594;1,9679;14,4;0;2,1;9,65;
17011400;OUTROS AÇUCARES D/CANA BRUTO S/AROMAT./CORANTES;0,3998;0,5136;14,4;0;0;0;
17019900;"OUTS.AÇÚCS.Ñ CITAD. ANT.E SACARINA
QUIM./PURA";0,9700;0,9700;14,4;0;0;0;
17021100;-- Que contenham, em peso, 99 % ou mais de lactose, expresso;0,6184;0,7439;14,4;0;2,1;9,65;
17023011;"GLICOSE QUIM. PURA S/FRUT.OU C/20% -
EST.SECO";0,5349;0,6148;14,4;0;2,1;9,65;
17023019;Outra;0,5416;0,5416;14,4;3,25;2,1;9,65;
17023020;XAROPE D/GLICOSE S/FRUT.OU C/20% - EST.SECO;1,1741;1,4906;14,4;0;2,1;9,65;
17025000;FRUTOSE QUIMICAMENTE PURA;1,4509;1,3798;14,4;0;2,1;9,65;
17026010;FRUTOSE C/MAIS D/50% NO ESTADO SECO D/FRUTOSE;1,5300;1,5300;14,4;0;2,1;9,65;
17026020;"XAROPE D/FRUTOSE C/MAIS D/50% NO
ESTADO SECO D/FRUTOSE";1,0765;1,0765;14,4;0;2,1;9,65;
17029000;- Outros, incluindo o açúcar invertido e os outros açúcares;0,4475;1,5116;14,4;3,25;2,1;9,65;
17031000;MELAÇOS DE CANA;4,9900;4,9900;14,4;3,25;2,1;9,65;
17039000;OUTS.MELAÇOS DA EXTRAÇÃO,REFINO DO AÇÚCAR;2,4828;2,4828;14,4;3,25;2,1;9,65;
17041000;"- Gomas de mascar (pastilhas elásticas),
mesmo revestidas de";2,0000;2,9765;18;3,25;2,1;9,65;
17049020;BOMBONS, CARAMELOS,CONFEIT. PASTILH.S/ CACAU;1,3312;3,2750;18;3,25;2,1;9,65;
17049090;"OUTROS PRODUTOS DE PADARIA SEM
CACAU";2,1065;3,1400;18;3,25;2,1;9,65;
18069000;OUTRAS PREPS. C/CACAU Ñ CIT. ANTERIORMENTE;1,4667;1,4667;18;3,25;2,1;9,65;
19011030;"PREP.À BASE D/FAR., SÊM.,AMIDO P/VEND A
RETAL.";2,7458;2,7635;16,2;0;2,1;9,65;
19011090;OUTS.PREP.P/ALIM. D/CRIANÇA P/VENDA A RETALHO;2,6476;2,6476;16,2;0;2,1;9,65;
19012090;OUTRAS;4,4192;4,8330;12,6;0;2,1;9,65;
19019010;EXTRATOS DE MALTE;1,6000;1,7585;12,6;0;2,1;9,65;
19019090;OUTS.PREPS.ALIMS. D/FARINHA P.< 40% DE CACAU;1,0193;1,1070;14,4;0;2,1;9,65;
19021100;"MASSAS ALIM.Ñ COZ., Ñ RECHEADAS,COM
OVOS";0,3702;0,4239;14,4;0;0;0;
19021900;OUTS.MASSAS ALIM.Ñ COZ.,Ñ RECH.ETC, S/OVOS;0,5667;1,4691;14,4;0;0;0;
19022000;"MASSAS ALIMENTÍCIAS RECHEADAS,MMO
COZIDAS";1,1263;1,2919;14,4;0;0;0;
19023000;OUTRAS MASSAS ALIMENTÍCIAS;1,3000;1,5388;14,4;0;0;0;
19030000;"TAPIOCA E SUCEDÂNEOS FLOC.,
GRUM.,GRÃOS ETC.";0,3700;1,1834;14,4;0;2,1;9,65;
19041000;PROD.À BASE D/CERS. OBT.P/EXP OU TORREFAÇÃO;2,0131;2,3319;14,4;0;2,1;9,65;
19049000;"OUTS.GRÃOS CEREAIS PRÉ-COZ.PREP.OUTRO
MOD.";0,9691;1,4881;14,4;0;2,1;9,65;
19052090;"OUTROS PÃES DE
ESPECIARIAS";2,2387;2,6988;16,2;0;2,1;9,65;
19053100;-- Bolachas e biscoitos, adicionados de edulcorantes;1,6000;1,7219;16,2;0;2,1;9,65;
19059020;Bolachas e biscoitos;2,0003;5,1741;16,2;0;2,1;9,65;
19059090;"OUTS.PRODS.
/PADARIA,PASTELAR. D/INDS.DE BISCS.";1,2584;3,2398;16,2;0;2,1;9,65;
20019000;OUTS.PROD.HORTÍC., FRUT.,CONS.VIN.,ÁCID. ACÉTICO;0,4443;0,5740;12,6;0;2,1;9,65;
20029000;- Outros;1,4220;1,4220;12,6;0;2,1;9,65;
20031000;- Cogumelos do gêneroAgaricus;1,1286;1,1449;12,6;0;2,1;9,65;
20039000;"OUTS.COGUMELOS E TRUFAS,PREP/CONS.
EXC.ÁCIDO ACÉTICO";0,8003;1,2985;12,6;0;2,1;9,65;
20041000;BATATA Ñ CONS. VINAGRE/ÁCIDO ACÉTICO, CONG.;0,7323;0,7323;12,6;0;2,1;9,65;
20051000;"PROD.HORT.HOM.Ñ CONG.Ñ CONS.VIN./ÁC.
ACÉTICO";4,9367;4,9367;12,6;0;2,1;9,65;
20052000;BATATAS Ñ CONS. VINAGRE/ÁCIDO ACÉTICO,Ñ CONG.;2,2000;4,4226;12,6;0;2,1;9,65;
20054000;"ERVILHAS Ñ CONG,Ñ CONS.VINAGRE/ÁC.
ACÉTICO";2,2524;2,6713;12,6;0;2,1;9,65;
20056000;ASPARGOS Ñ(CONG. CONS.)VIN./ÁCIDO ACÉTICO;1,8576;2,4235;12,6;0;2,1;9,65;
20057000;"AZEITONAS,Ñ CONG.Ñ CONS.VIN./ÁCIDO
ACÉTICO";2,2000;2,2000;12,6;0;2,1;9,65;
20058000;- Milho doce (Zea maysvar.saccharata);2,1531;2,1531;12,6;0;2,1;9,65;
20059100;"-- Brotos (rebentos) de
bambu";0,5438;0,4924;12,6;0;2,1;9,65;
20059900;OUTS.PROD.HORT.Ñ CONG./CONS.VIN./ÁC. ACÉTICO;0,6505;1,7686;12,6;0;2,1;9,65;
20060000;"Produtos hortícolas, fruta, cascas de fruta e
outras partes";0,7596;2,7026;12,6;0;2,1;9,65;
20071000;PREP.HOMOGENEIZ D/FRUTAS,OBTIDOS POR COZIM.;2,3951;2,3951;12,6;0;2,1;9,65;
20079990;"OUTS.DOCES, GELÉIAS OBT.
P/COZIMENTO";3,5466;3,5466;12,6;0;2,1;9,65;
20081100;"AMENDOINS PREPARADOS OU
CONSERVADOS";1,5556;1,5556;12,6;0;2,1;9,65;
20081900;OUTS.FRUTAS D/CASCA RIJA,CONS. D/OUTS.MODOS;1,4706;2,3790;12,6;0;2,1;9,65;
20082090;"ABACAXIS CONSERVADOS
D/OUTROS MODOS";3,8195;3,8195;12,6;0;2,1;9,65;
20083000;- Citros (citrinos);0,6337;1,0531;12,6;0;2,1;9,65;
20086090;CEREJAS CONSERVADAS DE OUTROS MODOS;2,4019;3,6279;12,6;0;2,1;9,65;
20087010;PÊSSEGOS / ÁGUA EDULC. INCLUÍDO OS XAROPES;1,1890;1,2189;35;0;2,1;9,65;
20088000;MORANGOS CONSERVADOS DE OUTROS MODOS;4,7287;5,0018;12,6;0;2,1;9,65;
20089790;OUTRAS MISTURAS CONSERVADAS DE OUTROS MODOS;2,4930;2,4930;12,6;0;2,1;9,65;
20089900;OUTRAS FRUTAS CONSERVADAS DE OUTROS MODOS;0,6330;1,5242;12,6;0;2,1;9,65;
21011190;OUTS.EXTRATOS, ESSÊNCIAS E CONCENTR.DE CAFÉ;26,8000;26,8000;14,4;0;0;0;
21012010;EXTRATOS, ESSÊNCIAS E CONCENTRADOS DE CHÁ;0,8032;0,9524;14,4;0;2,1;9,65;
21021090;OUTRAS LEVEDURAS VIVAS;2,1154;2,8457;12,6;0;2,1;9,65;
21022000;"LEVEDURAS MORTAS;
OUTS.MICROORG. MORTOS";1,4205;2,7127;12,6;NT;2,1;9,65;
21023000;PÓS PARA LEVEDAR, PREPARADOS;1,3368;2,7890;12,6;0;2,1;9,65;
21031010;"Em embalagens
imediatas de conteúdo inferior ou igual a 1 kg";0,5232;1,2269;16,2;0;2,1;9,65;
21031090;OUTROS MOLHOS DE SOJA;0,7000;0,8216;14,4;0;2,1;9,65;
21033021;"Em embalagens
imediatas de conteúdo inferior ou igual a 1 kg";0,7000;0,7000;16,2;0;2,1;9,65;
21033029;OUTRAS MOSTARDAS PREPARADAS;0,6636;0,8744;14,4;0;2,1;9,65;
21039011;"Em embalagens
imediatas de conteúdo inferior ou igual a 1 kg";0,9844;1,1444;16,2;0;2,1;9,65;
21039021;"Em embalagens
imediatas de conteúdo inferior ou igual a 1 kg";0,7000;2,5242;16,2;0;2,1;9,65;
21039029;OUTROS CONDIMENTOS E TEMPEROS COMPOSTOS;0,7000;2,4898;14,4;0;2,1;9,65;
21039091;Em embalagens imediatas de conteúdo inferior ou igual a 1 kg;0,6715;1,8123;16,2;0;2,1;9,65;
21039099;OUTROS MOLHOS, TEMPEROS E CONDIMENTOS;0,7000;1,3922;14,4;0;2,1;9,65;
21041011;Em embalagens imediatas de conteúdo inferior ou igual a 1 kg;0,7591;1,2647;16,2;0;2,1;9,65;
21041021;Em embalagens imediatas de conteúdo inferior ou igual a 1 kg;0,8000;0,8338;16,2;0;2,1;9,65;
21061000;CONCENT. D/PROTEÍNAS,SUBST. PROTÉICAS TEXTUR.;1,7942;2,5076;12,6;0;2,1;9,65;
21069010;Preparações do tipo utilizado para elaboração de bebida;1,1010;1,1052;12,6;0;2,1;9,65;
21069029;OUTS.PÓS C/AÇÚCAR E OUTS. EDULC. P/PUDINS;2,0245;2,4001;12,6;0;2,1;9,65;
21069030;SUPLEMENTOS ALIMENTARES;6,3300;14,8762;14,4;0;2,1;9,65;
21069060;CARAMEL.CONF. PASTS.E PRODS. SEMLH.,S/AÇÚCAR;8,9375;10,9748;14,4;0;2,1;9,65;
21069090;OUTS.PREP. ALIMENTÍCIAS Ñ ESPECIF.OUTS.POS.;0,8893;2,6335;14,4;0;2,1;9,65;
22019000;OUTRAS ÁGUAS, S/AÇÚCAR E EDULC., GELO E NEVE;2,4243;2,4311;18;NT;3,31;15,26;
22029900;-- Outras;0,4257;0,5983;18;2,6;3,31;15,26;
23024000;"SÊMEAS,FARELOS E
OUTS.RESÍD.D/OUTS. CEREAIS";37,0000;37,0000;5,4;0;2,1;9,65;
23091000;ALIMENTOS P/CÃES OU GATOS, P/VENDA A RETALHO;5,9458;6,8526;12,6;6,5;2,1;9,65;
23099010;"PREP.ALIM.COMPOST.
COMPLETOS P/ANIMAIS";0,5537;1,8484;7,2;0;2,1;9,65;
23099090;OUTS.PREP. P/ALIMENTAÇÃO DE ANIMAIS;0,6260;1,7254;7,2;0;2,1;9,65;
24012030;"FUMO DEST./PARC.
FLS.SEC.AR QUENT, TPO VIRGÍNIA";4,2996;4,9587;12,6;30;2,1;9,65;
24013000;DESPERDÍCIOS DE FUMO (TABACO);0,7203;0,8748;12,6;NT;2,1;9,65;
25010011;"SAL MARINHO, A
GRANEL, SEM AGREGADOS";0,3110;0,3559;3,6;NT;2,1;9,65;
25010020;SAL DE MESA;0,1521;0,1589;3,6;NT;2,1;9,65;
25010090;OUTROS SAIS;0,1572;0,2877;3,6;NT;2,1;9,65;
25030010;"ENXOFRE A GRANEL,
EXC.SUBLIM.,PREC., COLOIDAL";1,0396;1,0409;0;0;2,1;9,65;
25030090;OUTS.ENXOFRES,EXC. SUBLIM.PRECIP.E COLOIDAL;0,9598;0,9598;0;0;2,1;9,65;
25041000;"GRAFITA NATURAL EM
PÓ OU EM ESCAMAS";1,2333;1,8332;3,6;NT;2,1;9,65;
25049000;QQ.OUT.GRAFITA NATURAL EXCETO PÓ/ESCAMAS;1,4000;3,3838;3,6;NT;2,1;9,65;
25051000;"AREIAS SILICIOSAS E
AREIA QUARTZOSAS";0,4707;0,5892;3,6;NT;2,1;9,65;
25059000;OUTRAS AREIAS NATURAIS MESMO CORADAS;0,2669;0,3638;3,6;NT;2,1;9,65;
25061000;"QUARTZO EM BRUTO
OU DESBASTADO";0,7669;0,9499;3,6;NT;2,1;9,65;
25070010;CAULIM;0,3348;0,5110;3,6;NT;2,1;9,65;
25081000;BENTONITA;0,1513;0,6337;3,6;NT;2,1;9,65;
25083000;"ARGILAS
REFRATÁRIAS";0,3266;0,3521;3,6;NT;2,1;9,65;
25084090;OUTRAS ARGILAS;0,4764;1,1200;3,6;NT;2,1;9,65;
25086000;MULITA;0,3149;0,3424;3,6;NT;2,1;9,65;
25111000;"SULFATO DE BÁRIO
NATURAL (BARITINA)";0,3020;0,3383;3,6;NT;2,1;9,65;
25120000;Farinhas siliciosas fósseis (por exemplo, kieselguhr, tripoli;0,4321;0,5233;3,6;NT;2,1;9,65;
25131000;"Pedra-pomes;
esmeril/outs.abrs.nat.trat. term.";0,8666;1,9371;3,6;NT;2,1;9,65;
25132000;ESMERIL,CORINDO, GRANADA E ABRAS. NATURAIS;0,2000;0,2715;3,6;NT;2,1;9,65;
25151100;"MÁRMORES E
TRAVERT.,EM BRUTO/DESBASTADOS";1,0728;1,0728;3,6;NT;2,1;9,65;
25151220;TRAVERTINOS, CORTADOS EM BLOCOS,PLACAS,Q/R;0,5922;0,5922;5,4;NT;2,1;9,65;
25169000;"OUTRAS PEDRAS DE
CANTARIA OU CONSTRUÇÃO";0,2069;0,6489;3,6;NT;2,1;9,65;
25171000;"- Calhaus, cascalho,
pedras britadas, do tipo normalmente ut";0,1848;0,2496;3,6;NT;2,1;9,65;
